Id,Istat,Nome,Provincia
1,033001,AGAZZANO,PC
2,033002,ALSENO,PC
3,033003,BESENZONE,PC
4,033004,BETTOLA,PC
5,033005,BOBBIO,PC
6,033006,BORGONOVO VAL TIDONE,PC
7,033007,CADEO,PC
8,033008,CALENDASCO,PC
9,033010,CAORSO,PC
10,033011,CARPANETO PIACENTINO,PC
11,033012,CASTELL`ARQUATO,PC
12,033013,CASTEL SAN GIOVANNI,PC
13,033014,CASTELVETRO PIACENTINO,PC
14,033015,CERIGNALE,PC
15,033016,COLI,PC
16,033017,CORTE BRUGNATELLA,PC
17,033018,CORTEMAGGIORE,PC
18,033019,FARINI,PC
19,033020,FERRIERE,PC
20,033021,FIORENZUOLA D`ARDA,PC
21,033022,GAZZOLA,PC
22,033023,GOSSOLENGO,PC
23,033024,GRAGNANO TREBBIENSE,PC
24,033025,GROPPARELLO,PC
25,033026,LUGAGNANO VAL D`ARDA,PC
26,033027,MONTICELLI D`ONGINA,PC
27,033028,MORFASSO,PC
28,033030,OTTONE,PC
29,033032,PIACENZA,PC
30,033033,PIANELLO VAL TIDONE,PC
31,033034,PIOZZANO,PC
32,033035,PODENZANO,PC
33,033036,PONTE DELL`OLIO,PC
34,033037,PONTENURE,PC
35,033038,RIVERGARO,PC
36,033039,ROTTOFRENO,PC
37,033040,SAN GIORGIO PIACENTINO,PC
38,033041,SAN PIETRO IN CERRO,PC
39,033042,SARMATO,PC
40,033043,TRAVO,PC
41,033044,VERNASCA,PC
42,033045,VIGOLZONE,PC
43,033046,VILLANOVA SULL`ARDA,PC
44,033047,ZERBA,PC
45,033048,ZIANO PIACENTINO,PC
46,033049,ALTA VAL TIDONE,PC
47,034001,ALBARETO,PR
48,034002,BARDI,PR
49,034003,BEDONIA,PR
50,034004,BERCETO,PR
51,034005,BORE,PR
52,034006,BORGO VAL DI TARO,PR
53,034007,BUSSETO,PR
54,034008,CALESTANO,PR
55,034009,COLLECCHIO,PR
56,034010,COLORNO,PR
57,034011,COMPIANO,PR
58,034012,CORNIGLIO,PR
59,034013,FELINO,PR
60,034014,FIDENZA,PR
61,034015,FONTANELLATO,PR
62,034016,FONTEVIVO,PR
63,034017,FORNOVO DI TARO,PR
64,034018,LANGHIRANO,PR
65,034019,LESIGNANO DE`BAGNI,PR
66,034020,MEDESANO,PR
67,034022,MONCHIO DELLE CORTI,PR
68,034023,MONTECHIARUGOLO,PR
69,034024,NEVIANO DEGLI ARDUINI,PR
70,034025,NOCETO,PR
71,034026,PALANZANO,PR
72,034027,PARMA,PR
73,034028,PELLEGRINO PARMENSE,PR
74,034030,ROCCABIANCA,PR
75,034031,SALA BAGANZA,PR
76,034032,SALSOMAGGIORE TERME,PR
77,034033,SAN SECONDO PARMENSE,PR
78,034035,SOLIGNANO,PR
79,034036,SORAGNA,PR
80,034038,TERENZO,PR
81,034039,TIZZANO VAL PARMA,PR
82,034040,TORNOLO,PR
83,034041,TORRILE,PR
84,034042,TRAVERSETOLO,PR
85,034044,VALMOZZOLA,PR
86,034045,VARANO DE`MELEGARI,PR
87,034046,VARSI,PR
88,034049,SISSA TRECASALI,PR
89,034050,POLESINE ZIBELLO,PR
90,034051,SORBOLO MEZZANI,PR
91,035001,ALBINEA,RE
92,035002,BAGNOLO IN PIANO,RE
93,035003,BAISO,RE
94,035004,BIBBIANO,RE
95,035005,BORETTO,RE
96,035006,BRESCELLO,RE
97,035008,CADELBOSCO DI SOPRA,RE
98,035009,CAMPAGNOLA EMILIA,RE
99,035010,CAMPEGINE,RE
100,035011,CARPINETI,RE
101,035012,CASALGRANDE,RE
102,035013,CASINA,RE
103,035014,CASTELLARANO,RE
104,035015,CASTELNOVO DI SOTTO,RE
105,035016,CASTELNOVO NE`MONTI,RE
106,035017,CAVRIAGO,RE
107,035018,CANOSSA,RE
108,035020,CORREGGIO,RE
109,035021,FABBRICO,RE
110,035022,GATTATICO,RE
111,035023,GUALTIERI,RE
112,035024,GUASTALLA,RE
113,035026,LUZZARA,RE
114,035027,MONTECCHIO EMILIA,RE
115,035028,NOVELLARA,RE
116,035029,POVIGLIO,RE
